Episode 580 | joint_return= -2.00 | mean_joint_return= -1.10 | eps=0.891 | loss= 0.0030 | per_agent=[-1.0, -1.0]

Episode 581 | joint_return= -2.00 | mean_joint_return= -1.00 | eps=0.890 | loss= 0.0029 | per_agent=[-1.0, -1.0]

Episode 582 | joint_return= -2.00 | mean_joint_return= -1.10 | eps=0.889 | loss= 0.0029 | per_agent=[-1.0, -1.0]

Episode 583 | joint_return= 0.00 | mean_joint_return= -0.90 | eps=0.887 | loss= 0.0028 | per_agent=[0.0, 0.0]

Episode 584 | joint_return= -2.00 | mean_joint_return= -1.00 | eps=0.886 | loss= 0.0025 | per_agent=[-1.0, -1.0]

Episode 585 | joint_return= 0.00 | mean_joint_return= -0.90 | eps=0.885 | loss= 0.0027 | per_agent=[0.0, 0.0]

Episode 586 | joint_return= 0.00 | mean_joint_return= -1.00 | eps=0.883 | loss= 0.0024 | per_agent=[0.0, 0.0]

Episode 587 | joint_return= -2.00 | mean_joint_return= -1.10 | eps=0.882 | loss= 0.0034 | per_agent=[-1.0, -1.0]

Episode 588 | joint_return= -2.00 | mean_joint_return= -1.00 | eps=0.881 | loss= 0.0029 | per_agent=[-1.0, -1.0]

Episode 589 | joint_return= 2.00 | mean_joint_return= -0.80 | eps=0.879 | loss= 0.0032 | per_agent=[1.0, 1.0]

Episode 590 | joint_return= 0.00 | mean_joint_return= -0.60 | eps=0.878 | loss= 0.0032 | per_agent=[0.0, 0.0]

Episode 591 | joint_return= 0.00 | mean_joint_return= -0.50 | eps=0.877 | loss= 0.0033 | per_agent=[0.0, 0.0]

Episode 592 | joint_return= 4.00 | mean_joint_return= -0.30 | eps=0.875 | loss= 0.0041 | per_agent=[2.0, 2.0]

Episode 593 | joint_return= 0.00 | mean_joint_return= -0.30 | eps=0.874 | loss= 0.0039 | per_agent=[0.0, 0.0]

Episode 594 | joint_return= -4.00 | mean_joint_return= -0.50 | eps=0.872 | loss= 0.0037 | per_agent=[-2.0, -2.0]

Episode 595 | joint_return= 2.00 | mean_joint_return= -0.40 | eps=0.871 | loss= 0.0042 | per_agent=[1.0, 1.0]

Episode 596 | joint_return= 0.00 | mean_joint_return= -0.50 | eps=0.870 | loss= 0.0035 | per_agent=[0.0, 0.0]

Episode 597 | joint_return= 0.00 | mean_joint_return= -0.50 | eps=0.868 | loss= 0.0044 | per_agent=[0.0, 0.0]

Episode 598 | joint_return= -2.00 | mean_joint_return= -0.50 | eps=0.867 | loss= 0.0037 | per_agent=[-1.0, -1.0]

Episode 599 | joint_return= -4.00 | mean_joint_return= -0.70 | eps=0.866 | loss= 0.0048 | per_agent=[-2.0, -2.0]

Episode 600 | joint_return= 2.00 | mean_joint_return= -0.50 | eps=0.864 | loss= 0.0041 | per_agent=[1.0, 1.0]

Episode 601 | joint_return= 0.00 | mean_joint_return= -0.40 | eps=0.863 | loss= 0.0051 | per_agent=[0.0, 0.0]

Episode 602 | joint_return= 0.00 | mean_joint_return= -0.30 | eps=0.862 | loss= 0.0057 | per_agent=[0.0, 0.0]

Episode 603 | joint_return= 0.00 | mean_joint_return= -0.30 | eps=0.860 | loss= 0.0054 | per_agent=[0.0, 0.0]

Episode 604 | joint_return= -2.00 | mean_joint_return= -0.30 | eps=0.859 | loss= 0.0054 | per_agent=[-1.0, -1.0]

Episode 605 | joint_return= 2.00 | mean_joint_return= -0.20 | eps=0.858 | loss= 0.0052 | per_agent=[1.0, 1.0]

Episode 606 | joint_return= -2.00 | mean_joint_return= -0.30 | eps=0.856 | loss= 0.0065 | per_agent=[-1.0, -1.0]

Episode 607 | joint_return= 4.00 | mean_joint_return= 0.00 | eps=0.855 | loss= 0.0057 | per_agent=[2.0, 2.0]

Episode 608 | joint_return= -4.00 | mean_joint_return= -0.10 | eps=0.853 | loss= 0.0042 | per_agent=[-2.0, -2.0]

Episode 609 | joint_return= -2.00 | mean_joint_return= -0.30 | eps=0.852 | loss= 0.0073 | per_agent=[-1.0, -1.0]

Episode 610 | joint_return= -4.00 | mean_joint_return= -0.50 | eps=0.851 | loss= 0.0066 | per_agent=[-2.0, -2.0]

Episode 611 | joint_return= 0.00 | mean_joint_return= -0.50 | eps=0.849 | loss= 0.0068 | per_agent=[0.0, 0.0]

Episode 612 | joint_return= 0.00 | mean_joint_return= -0.70 | eps=0.848 | loss= 0.0050 | per_agent=[0.0, 0.0]

Episode 613 | joint_return= 0.00 | mean_joint_return= -0.70 | eps=0.847 | loss= 0.0056 | per_agent=[0.0, 0.0]

Episode 614 | joint_return= -2.00 | mean_joint_return= -0.60 | eps=0.845 | loss= 0.0103 | per_agent=[-1.0, -1.0]

Episode 615 | joint_return= -2.00 | mean_joint_return= -0.80 | eps=0.844 | loss= 0.0065 | per_agent=[-1.0, -1.0]

Episode 616 | joint_return= 2.00 | mean_joint_return= -0.70 | eps=0.843 | loss= 0.0073 | per_agent=[1.0, 1.0]

Episode 617 | joint_return= 0.00 | mean_joint_return= -0.70 | eps=0.841 | loss= 0.0134 | per_agent=[0.0, 0.0]

Episode 618 | joint_return= -4.00 | mean_joint_return= -0.80 | eps=0.840 | loss= 0.0068 | per_agent=[-2.0, -2.0]

